date,open,high,low,close,volume,symbol
2023-12-05,455.26001,457.59,454.87,456.60001,69793500,SPY
2023-12-06,458.81,458.84,454.31,454.76001,69124700,SPY
2023-12-07,456.91,458.89999,456.29001,458.23001,66995400,SPY
2023-12-08,457.45999,460.75,457.20999,460.20001,83080900,SPY
2023-12-11,459.69,462.17001,459.47,461.98999,65002200,SPY
2023-12-12,461.63,464.20001,460.60001,464.10001,68327600,SPY
2023-12-13,464.48999,470.76001,464.12,470.5,93278000,SPY
2023-12-14,472.5,473.73001,469.25,472.01001,119026000,SPY
2023-12-15,469.48999,470.70001,467.42999,469.32999,141319300,SPY
2023-12-18,470.98001,472.98001,469.89001,471.97,70375300,SPY
2023-12-19,472.53,474.92001,472.45001,474.84,55761800,SPY
2023-12-20,473.95999,475.89999,467.82001,468.26001,102921000,SPY
2023-12-21,471.32999,472.98001,468.84,472.70001,86667500,SPY
2023-12-22,473.85999,475.38,471.70001,473.64999,67126600,SPY
2023-12-26,474.070007,476.57999,473.98999,475.64999,55387000,SPY
2023-12-27,475.44,476.66,474.89001,476.51001,68000300,SPY
2023-12-28,476.88,477.54999,476.26001,476.69,77158100,SPY
2023-12-29,476.48999,477.029999,473.29999,475.31,122234100,SPY
2024-01-02,472.16,473.67001,470.48999,472.64999,123623700,SPY
2024-01-03,470.42999,471.19,468.17001,468.79001,103585900,SPY
2024-01-04,468.29999,470.95999,467.049988,467.28,84232200,SPY
2024-01-05,467.48999,470.44,466.42999,467.92001,86060800,SPY
2024-01-08,468.42999,474.75,468.29999,474.60001,74879100,SPY
2024-01-09,471.87,474.92999,471.35001,473.88,65931400,SPY
2024-01-10,474.16,477.45001,473.87,476.56,67310600,SPY
2024-01-11,477.59,478.12,472.26001,476.35001,77940700,SPY
2024-01-12,477.84,478.60001,475.23001,476.67999,57944000,SPY
2024-01-16,475.26001,476.60999,473.059998,474.92999,85014900,SPY
2024-01-17,471.82001,472.79001,469.87,472.29001,68843900,SPY
2024-01-18,474.01001,477.059998,472.42001,476.48999,91856200,SPY
2024-01-19,477.64999,482.72,476.54001,482.42999,110733300,SPY
2024-01-22,484.01001,485.22,482.78,483.45001,75844900,SPY
2024-01-23,484.01001,485.10999,482.89001,484.85999,49945300,SPY
2024-01-24,487.81,488.76999,484.88,485.39001,81765000,SPY
2024-01-25,487.57999,488.31,485.39001,488.029999,72525000,SPY
2024-01-26,487.59,489.12,486.54001,487.41,76641600,SPY
2024-01-29,487.73001,491.42001,487.17001,491.26999,61322800,SPY
2024-01-30,490.56,491.62,490.10999,490.89001,58618400,SPY
2024-01-31,488.62,489.079987,482.85999,482.88,126011100,SPY
2024-02-01,484.63,489.23001,483.79999,489.20001,91891600,SPY
2024-02-02,489.64999,496.049988,489.29999,494.35001,99147700,SPY
2024-02-05,493.70001,494.38,490.23001,492.54999,75757100,SPY
2024-02-06,493.51999,494.32001,492.049988,493.98001,55918600,SPY
2024-02-07,496.29001,498.53,495.35999,498.10001,70556500,SPY
2024-02-08,498.10001,498.70999,497.26001,498.32001,52343600,SPY
2024-02-09,498.84,501.64999,498.48999,501.20001,63979400,SPY
2024-02-12,501.17001,503.5,500.23999,500.98001,56502300,SPY
2024-02-13,494.53,497.089996,490.72,494.079987,113099200,SPY
2024-02-14,496.79001,499.070007,494.39999,498.57001,68387800,SPY
2024-02-15,499.29001,502.20001,498.79999,502.01001,61683000,SPY
2024-02-16,501.70001,502.87,498.75,499.51001,75461200,SPY
2024-02-20,497.72,498.41,494.45001,496.76001,71736700,SPY
2024-02-21,495.42001,497.37,493.56,497.20999,59603800,SPY
2024-02-22,504.01001,508.48999,503.019989,507.5,76402500,SPY
2024-02-23,509.26999,510.13,507.10001,507.85001,61321800,SPY
2024-02-26,508.29999,508.75,505.85999,505.98999,50386700,SPY
2024-02-27,506.70001,507.16,504.75,506.92999,48854500,SPY
2024-02-28,505.32999,506.85999,504.95999,506.26001,56506600,SPY
2024-02-29,508.070007,509.73999,505.35001,508.079987,83924800,SPY
2024-03-01,508.98001,513.28998,508.56,512.84998,76805900,SPY
2024-03-04,512.030029,514.20001,512.0,512.29999,49799300,SPY
2024-03-05,510.23999,510.70001,504.91,507.17999,72855600,SPY
2024-03-06,510.54999,512.070007,508.42001,509.75,68382400,SPY
2024-03-07,513.14001,515.89001,509.81,514.81,58652100,SPY
2024-03-08,515.46002,518.21997,511.13,511.72,86425500,SPY
2024-03-11,510.48001,511.88,508.5,511.28,62557200,SPY
2024-03-12,513.45001,517.38,510.85999,516.78003,73114400,SPY
2024-03-13,517.10999,517.28998,514.48999,515.96997,55104100,SPY
2024-03-14,516.96997,517.13,511.82001,514.95001,110171800,SPY
2024-03-15,510.20999,511.70001,508.12,509.82999,107585800,SPY
2024-03-18,514.0,515.47998,512.44,512.85999,88893300,SPY
2024-03-19,512.15002,516.0,511.12,515.71002,60755300,SPY
2024-03-20,515.77002,520.62,515.080017,520.47998,69594600,SPY
2024-03-21,523.39001,524.10999,521.90997,522.20001,60256100,SPY
2024-03-22,522.10999,522.60999,520.96997,521.21002,79023000,SPY
2024-03-25,519.79999,520.95001,519.60999,519.77002,48512100,SPY
2024-03-26,521.22998,521.58002,518.40002,518.81,65463700,SPY
2024-03-27,521.71002,523.21002,519.48999,523.16998,82999800,SPY
2024-03-28,523.21002,524.60999,522.78003,523.070007,96294900,SPY
2024-04-01,523.83002,524.38,520.96997,522.15997,62477500,SPY
2024-04-02,518.23999,518.97998,516.47998,518.84003,74230300,SPY
2024-04-03,517.71997,520.95001,517.66998,519.40997,59155800,SPY
2024-04-04,523.52002,523.87,512.76001,513.070007,96858100,SPY
2024-04-05,514.46002,520.44,514.01001,518.42999,74482100,SPY
2024-04-08,519.15002,520.17999,517.89001,518.71997,48401800,SPY
2024-04-09,520.5,520.75,514.34998,519.32001,68124400,SPY
2024-04-10,513.47998,516.15997,512.090027,514.12,82652800,SPY
2024-04-11,515.67999,519.47998,512.080017,518.0,70099000,SPY
2024-04-12,514.37,515.82001,509.079987,510.85001,92469100,SPY
2024-04-15,515.13,515.29999,503.57999,504.45001,92101400,SPY
2024-04-16,504.94,506.5,502.20999,503.53,73484000,SPY
2024-04-17,506.049988,506.22,499.12,500.54999,75910300,SPY
2024-04-18,501.98001,504.13,498.56,499.51999,74548100,SPY
2024-04-19,499.44,500.45999,493.85999,495.16,102129100,SPY
2024-04-22,497.82999,502.38,495.42999,499.72,67961000,SPY
2024-04-23,501.78,506.089996,499.53,505.64999,64633600,SPY
2024-04-24,506.56,507.37,503.13,505.41,55928100,SPY
2024-04-25,499.17999,504.26999,497.48999,503.48999,69122400,SPY
2024-04-26,506.35001,509.88,505.70001,508.26001,64306100,SPY
2024-04-29,510.089996,510.75,507.25,510.059998,46415400,SPY
2024-04-30,508.56,509.56,501.98001,501.98001,77483600,SPY
2024-05-01,501.38,508.19,499.87,500.35001,80242800,SPY
2024-05-02,504.14999,505.89001,499.54999,505.029999,62550200,SPY
2024-05-03,511.16,512.54999,508.56,511.29001,72756700,SPY
2024-05-06,513.75,516.60999,513.29999,516.57001,47264700,SPY
2024-05-07,517.56,518.57001,516.45001,517.14001,52561300,SPY
2024-05-08,515.26001,517.73999,515.14001,517.19,42047200,SPY
2024-05-09,517.38,520.21002,516.71002,520.16998,43643700,SPY
2024-05-10,521.81,522.64001,519.59003,520.84003,52233200,SPY
2024-05-13,522.56,522.66998,519.73999,520.90997,36716400,SPY
2024-05-14,521.10999,523.83002,520.56,523.29999,57535900,SPY
2024-05-15,525.83002,530.080017,525.17999,529.78003,59504900,SPY
2024-05-16,529.88,531.52002,528.53998,528.69,50244800,SPY
2024-05-17,528.81,529.52002,527.32001,529.45001,59187600,SPY
2024-05-20,529.57001,531.56,529.16998,530.059998,37764200,SPY
2024-05-21,529.28003,531.52002,529.070007,531.35999,33437000,SPY
2024-05-22,530.65002,531.38,527.59998,529.83002,48390000,SPY
2024-05-23,532.96002,533.070007,524.71997,525.96002,57211200,SPY
2024-05-24,527.84998,530.27002,526.88,529.44,41258400,SPY
2024-05-28,530.27002,530.51001,527.10999,529.81,36269600,SPY
2024-05-29,525.67999,527.31,525.37,526.099976,45190300,SPY
2024-05-30,524.52002,525.20001,521.33002,522.60999,46468500,SPY
2024-05-31,523.59003,527.5,518.35999,527.37,90785800,SPY
2024-06-03,529.02002,529.31,522.59998,527.79999,46835700,SPY
2024-06-04,526.46002,529.15002,524.96002,528.39001,34632700,SPY
2024-06-05,530.77002,534.69,528.72998,534.66998,47610400,SPY
2024-06-06,534.97998,535.41998,532.67999,534.65997,30808500,SPY
2024-06-07,533.65997,536.89001,532.53998,534.01001,43224500,SPY
2024-06-10,533.17999,535.98999,532.57001,535.65997,35729300,SPY
2024-06-11,534.070007,537.01001,532.049988,536.95001,36383400,SPY
2024-06-12,541.63,544.12,540.29999,541.35999,63251300,SPY
2024-06-13,543.15002,543.33002,539.59003,542.45001,44760900,SPY
2024-06-14,540.88,542.81,539.84998,542.78003,40089900,SPY
2024-06-17,542.080017,548.53003,541.60999,547.099976,55839500,SPY
2024-06-18,547.15997,548.62,546.72998,548.48999,41376400,SPY
2024-06-20,549.44,550.12,545.17999,547.0,70328200,SPY
2024-06-21,544.40002,545.65002,543.02002,544.51001,64513900,SPY
2024-06-24,544.33002,546.95001,542.62,542.73999,45528700,SPY
2024-06-25,543.98999,545.20001,542.44,544.83002,38273300,SPY
2024-06-26,543.69,546.23999,543.030029,545.51001,38550600,SPY
2024-06-27,545.37,546.96002,544.60999,546.37,35041500,SPY
2024-06-28,547.15997,550.28003,542.95001,544.21997,76144500,SPY
2024-07-01,545.63,545.88,542.52002,545.34003,40297800,SPY
2024-07-02,543.70001,549.01001,543.65002,549.01001,40434800,SPY
2024-07-03,548.69,551.83002,548.65002,551.46002,32789900,SPY
2024-07-05,551.77002,555.049988,551.12,554.64001,41488400,SPY
2024-07-08,555.44,556.25,554.19,555.28003,36110500,SPY
2024-07-09,556.26001,557.17999,555.52002,555.82001,27289700,SPY
2024-07-10,557.070007,561.66998,556.77002,561.32001,38701200,SPY
2024-07-11,561.44,562.33002,555.83002,556.47998,53054200,SPY
2024-07-12,557.63,563.66998,557.15002,559.98999,53084400,SPY
2024-07-15,562.030029,564.84003,559.63,561.53003,40584300,SPY
2024-07-16,562.87,565.15997,562.099976,564.85999,36475300,SPY
2024-07-17,558.79999,560.51001,556.60999,556.94,57119000,SPY
2024-07-18,558.51001,559.52002,550.42999,552.65997,56270400,SPY
2024-07-19,552.41998,554.080017,547.90997,548.98999,65509100,SPY
2024-07-22,553.0,555.27002,551.02002,554.65002,43346700,SPY
2024-07-23,554.53998,556.73999,553.28003,553.78003,34439600,SPY
2024-07-24,548.85999,549.16998,540.28998,541.22998,74515300,SPY
2024-07-25,541.34998,547.46002,537.45001,538.40997,61158300,SPY
2024-07-26,542.28003,547.19,541.48999,544.44,53763800,SPY
2024-07-29,546.02002,547.049988,542.71997,544.76001,39515800,SPY
2024-07-30,546.26001,547.34003,538.52002,542.0,46853600,SPY
2024-07-31,548.97998,553.5,547.58002,550.81,65663400,SPY
2024-08-01,552.57001,554.87,539.42999,543.01001,76428700,SPY
2024-08-02,535.75,536.98999,528.59998,532.90002,82789100,SPY
2024-08-05,511.64001,523.58002,510.26999,517.38,146267400,SPY
2024-08-06,519.21997,529.75,517.87,522.15002,84826300,SPY
2024-08-07,528.46997,531.59003,518.049988,518.65997,70698300,SPY
2024-08-08,523.90997,531.28998,521.84003,530.65002,63276600,SPY
2024-08-09,529.81,534.51001,528.56,532.98999,45619600,SPY
2024-08-12,534.21002,535.72998,530.95001,533.27002,42542100,SPY
2024-08-13,536.53003,542.28003,536.28003,542.039978,52333100,SPY
2024-08-14,542.84998,544.96002,540.12,543.75,42446900,SPY
2024-08-15,549.5,553.35999,548.88,553.070007,60846800,SPY
2024-08-16,551.41998,555.02002,551.26001,554.31,44430700,SPY
2024-08-19,554.72998,559.60999,553.85999,559.60999,39121800,SPY
2024-08-20,559.15002,560.84003,557.33002,558.70001,33732300,SPY
2024-08-21,559.77002,562.10999,554.72998,560.62,41514600,SPY
2024-08-22,562.56,563.17999,554.97998,556.21997,56121500,SPY
2024-08-23,559.53003,563.090027,557.28998,562.13,50639400,SPY
2024-08-26,563.17999,563.90997,559.049988,560.78998,35788600,SPY
2024-08-27,559.48999,562.059998,558.32001,561.56,32693900,SPY
2024-08-28,561.21002,561.65002,555.039978,558.29999,41066000,SPY
2024-08-29,560.31,563.67999,557.17999,558.34998,38715200,SPY
2024-08-30,560.77002,564.20001,557.14001,563.67999,62700100,SPY
2024-09-03,560.46997,560.81,549.51001,552.080017,60600100,SPY
2024-09-04,550.20001,554.42999,549.46002,550.95001,47224900,SPY
2024-09-05,550.89001,553.79999,547.099976,549.60999,44264300,SPY
2024-09-06,549.94,551.59998,539.44,540.35999,68493800,SPY
2024-09-09,544.65002,547.71002,542.67999,546.40997,40445800,SPY
2024-09-10,548.35999,549.15002,543.38,548.78998,36394600,SPY
2024-09-11,548.70001,555.35999,539.96002,554.41998,75248600,SPY
2024-09-12,555.01001,559.40002,552.73999,559.090027,51892700,SPY
2024-09-13,559.71002,563.030029,559.45001,562.01001,39310500,SPY
2024-09-16,561.73999,563.10999,559.90002,562.84003,36656100,SPY
2024-09-17,565.099976,566.58002,560.78998,563.070007,49321000,SPY
2024-09-18,563.73999,568.69,560.83002,561.40002,59044900,SPY
2024-09-19,571.01001,572.88,568.080017,570.97998,75315500,SPY
2024-09-20,567.84003,569.31,565.16998,568.25,77503100,SPY
2024-09-23,569.34003,570.33002,568.099976,569.66998,44116900,SPY
2024-09-24,570.47998,571.35999,567.59998,571.29999,46805700,SPY
2024-09-25,571.14001,571.89001,568.90997,570.039978,38428600,SPY
2024-09-26,574.38,574.71002,569.90002,572.29999,48336000,SPY
2024-09-27,573.39001,574.21997,570.41998,571.46997,42100900,SPY
2024-09-30,570.41998,574.38,568.080017,573.76001,63557400,SPY
2024-10-01,573.40002,574.059998,566.0,568.62,72668800,SPY
2024-10-02,567.71002,569.90002,565.27002,568.85999,38097800,SPY
2024-10-03,567.35999,569.79999,565.48999,567.82001,40846500,SPY
2024-10-04,572.34998,573.35999,568.099976,572.97998,42939100,SPY
2024-10-07,571.29999,571.96002,566.63,567.79999,49964700,SPY
2024-10-08,570.41998,573.78003,569.53003,573.16998,37398700,SPY
2024-10-09,573.15997,577.71002,572.54999,577.14001,37912200,SPY
2024-10-10,575.77002,577.58002,574.48999,576.13,44138100,SPY
2024-10-11,576.049988,580.33002,575.90997,579.58002,42268000,SPY
2024-10-14,581.21997,585.27002,580.72998,584.32001,36217200,SPY
2024-10-15,584.59003,584.90002,578.53998,579.78003,54203600,SPY
2024-10-16,579.78003,582.83002,578.96002,582.29999,30725400,SPY
2024-10-17,585.90997,586.12,582.15997,582.34998,34393700,SPY
2024-10-18,584.070007,585.39001,582.58002,584.59003,37416800,SPY
2024-10-21,583.84998,584.84998,580.59998,583.63,36439000,SPY
2024-10-22,581.049988,584.5,580.38,583.32001,34183800,SPY
2024-10-23,581.26001,581.71002,574.41998,577.98999,49314600,SPY
2024-10-24,579.97998,580.059998,576.57001,579.23999,34979900,SPY
2024-10-25,581.51001,584.46002,578.080017,579.039978,47268200,SPY
2024-10-28,582.58002,582.71002,580.52002,580.83002,30174700,SPY
2024-10-29,579.84998,582.90997,578.42999,581.77002,42899700,SPY
2024-10-30,581.28998,583.32001,579.28998,580.01001,41435800,SPY
2024-10-31,575.56,575.63,568.44,568.64001,60182500,SPY
2024-11-01,571.32001,575.54999,570.62,571.039978,45667500,SPY
2024-11-04,571.17999,572.5,567.89001,569.81,38217000,SPY
2024-11-05,570.73999,576.73999,570.52002,576.70001,39478300,SPY
2024-11-06,589.20001,591.92999,585.39001,591.039978,68182000,SPY
2024-11-07,593.080017,596.65002,593.0,595.60999,47233200,SPY
2024-11-08,596.16998,599.64001,596.16998,598.19,46444900,SPY
2024-11-11,599.81,600.16998,597.0,598.76001,37586800,SPY
2024-11-12,598.67999,599.28998,594.37,596.90002,43006100,SPY
2024-11-13,597.37,599.22998,594.96002,597.19,47388600,SPY
2024-11-14,597.32001,597.81,592.65002,593.34998,38904100,SPY
2024-11-15,589.71997,590.20001,583.85999,585.75,75988800,SPY
2024-11-18,586.21997,589.48999,585.34003,588.15002,37084100,SPY
2024-11-19,584.71002,591.039978,584.030029,590.29999,49412000,SPY
2024-11-20,590.38,590.78998,584.63,590.5,50032600,SPY
2024-11-21,593.40002,595.12,587.45001,593.66998,46750300,SPY
2024-11-22,593.65997,596.15002,593.15002,595.51001,38226400,SPY
2024-11-25,599.52002,600.85999,595.20001,597.53003,42441400,SPY
2024-11-26,598.79999,601.33002,598.070007,600.65002,45621300,SPY
2024-11-27,600.46002,600.84998,597.28003,598.83002,34000200,SPY
2024-11-29,599.65997,603.34998,599.38,602.54999,30177400,SPY
2024-12-02,602.96997,604.32001,602.46997,603.63,31746000,SPY
